gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,44800.0,0.721029100661984,363.7994390164383
5,25000.0,44900.0,0.7202117445670096,364.2052388514809
5,25000.0,45000.0,0.719395462937111,364.6105870446622
5,25000.0,45100.0,0.7185802541654679,365.0154851006218
5,25000.0,45200.0,0.7177661166479525,365.4199345156627
5,25000.0,45300.0,0.716953048783127,365.823936777817
5,25000.0,45400.0,0.7161410489722329,366.22749336690885
5,25000.0,45500.0,0.7153301156191969,366.63060575461816
5,25000.0,45600.0,0.7145202471306127,367.03327540454313
5,25000.0,45700.0,0.7137114419157464,367.4355037722624
5,25000.0,45800.0,0.7129036983865268,367.83729230539586
5,25000.0,45900.0,0.7120970149575422,368.23864244366627
5,25000.0,46000.0,0.7112913900460311,368.63955561895864
5,25000.0,46100.0,0.7104868220718875,369.0400332553804
5,25000.0,46200.0,0.7096833094576426,369.44007676932034
5,25000.0,46300.0,0.7088808506284702,369.83968756950674
5,25000.0,46400.0,0.7080794440121777,370.23886705706536
5,25000.0,46500.0,0.7072790880392027,370.6376166255772
5,25000.0,46600.0,0.706479781142603,371.03593766113454
5,25000.0,46700.0,0.7056815217580631,371.43383154239785
5,25000.0,46800.0,0.7048843083238752,371.8312996406507
5,25000.0,46900.0,0.704088139280945,372.2283433198557
5,25000.0,47000.0,0.7032930130727829,372.6249639367086
5,25000.0,47100.0,0.7024989281454996,373.02116284069245
5,25000.0,47200.0,0.7017058829477982,373.4169413741313
5,25000.0,47300.0,0.7009138759309785,373.8123008722431
5,25000.0,47400.0,0.7001229055489195,374.20724266319246
5,25000.0,47500.0,0.699332970258085,374.60176806814246
5,25000.0,47600.0,0.6985440685175144,374.9958784013064
5,25000.0,47700.0,0.697756198788819,375.3895749699989
5,25000.0,47800.0,0.6969693595361744,375.7828590746861
5,25000.0,47900.0,0.6961835492263208,376.1757320090365
